4.67.64.0/22|{6453, 11608, 19281}
4.67.64.0/22|{6539, 11608, 19281}
4.67.64.0/22|{12956, 6453, 11608, 19281}
4.67.64.0/22|{1299, 6453, 11608, 19281}
4.67.64.0/22|{3561, 11608, 19281}
4.67.64.0/22|{286, 3491, 11608, 19281}
4.67.64.0/22|{293, 6453, 11608, 19281}
4.67.64.0/22|{2905, 701, 3491, 11608, 19281}
4.67.64.0/22|{2493, 3602, 1239, 2914, 11608, 19281}
4.67.64.0/22|{14608, 4323, 11608, 19281}
4.67.64.0/22|{852, 3491, 11608, 19281}
4.67.64.0/22|{852, 3491, 11608, 19281}
4.67.64.0/22|{3130, 3491, 11608, 19281}
4.67.64.0/22|{3557, 11608, 19281}
4.67.64.0/22|{2152, 11608, 19281}
4.67.64.0/22|{12682, 3213, 3491, 11608, 19281}
4.67.64.0/22|{12682, 3213, 3491, 11608, 19281}
4.67.64.0/22|{3549, 3491, 11608, 19281}
4.67.64.0/22|{13237, 3491, 11608, 19281}
4.67.64.0/22|{3549, 6453, 11608, 19281}
4.68.248.0/24|{14608, 19029, 4355}
4.78.174.0/23|{3277, 3216, 1273, 3356}
4.78.192.96/27|{7660, 2516, 22822, 26769}
4.78.192.96/27|{11686, 22822, 26769}
4.78.192.96/27|{3557, 22822, 26769}
4.78.192.112/28|{11686, 22822, 26769}
4.78.192.112/28|{3557, 22822, 26769}
4.78.210.24/30|{11686, 19158}
4.78.212.0/23|{11686, 6382, 6389, 3356}
4.79.181.0/24|{5056, 209, 6453, 10310, 14780}
4.79.181.0/24|{3277, 3216, 3549, 10310, 14780}
4.79.181.0/24|{286, 3549, 10310, 14780}
4.79.181.0/24|{3130, 2914, 3549, 10310, 14780}
4.79.181.0/24|{8001, 10310, 14780}
4.79.181.0/24|{286, 3549, 10310, 14780}
